geo\time	2006q04 	2006q03 	2006q02 	2006q01 	2005q04 	2005q03 	2005q02 	2005q01 	2004q04 	2004q03 	2004q02 	2004q01 	2003q04 	2003q03 	2003q02 	2003q01 	2002q04 	2002q03 	2002q02 
ea	2133656.0 	2106253.0 	2082542.0 	2052129.7 	2031508.9 	2010610.8 	1987416.2 	1971922.6 	1954844.1 	1941679.5 	1930862.8 	1911372.1 	1891612.7 	1877027.7 	1851689.5 	1841593.3 	1835657.0 	1823984.8 	1803090.0 
ea13	2141363.2 	2113817.2 	2089962.1 	2059260.9 	2038575.9 	2017549.5 	1994266.6 	1978648.0 	1961451.3 	1948284.6 	1937269.1 	1917810.1 	1897957.5 	1883283.7 	1857854.7 	1847681.2 	1841692.7 	1829967.8 	1808986.8 
ea12	2133656.0 	2106253.0 	2082542.0 	2052129.7 	2031508.9 	2010610.8 	1987416.2 	1971922.6 	1954844.1 	1941679.5 	1930862.8 	1911372.1 	1891612.7 	1877027.7 	1851689.5 	1841593.3 	1835657.0 	1823984.8 	1803090.0 
eu27	2951790.5 	2903191.9 	2859330.9 	2819022.3 	2790971.9 	2752279.2 	2721444.9 	2688005.4 	2659072.3 	2647366.1 	2628210.1 	2584881.2 	2547221.1 	2523220.3 	2487015.4 	2489497.4 	2499421.1 	2479505.3 	2459759.3 
eu25	2919927.5 	2872017.2 	2829120.3 	2790052.8 	2763291.4 	2726180.3 	2696827.6 	2664968.2 	2637645.1 	2626831.3 	2608384.1 	2565951.9 	2528893.9 	2505324.8 	2469873.4 	2472482.2 	2482402.8 	2463068.5 	2443839.7 
eu15	2757569.2 	2717813.9 	2677828.6 	2639751.9 	2617375.8 	2584547.9 	2560207.4 	2528190.8 	2507530.4 	2501565.6 	2489356.2 	2451191.3 	2415339.1 	2392551.3 	2357026.7 	2359551.9 	2367096.8 	2351066.1 	2328184.4 
be	79812.4 	79147.6 	78041.1 	77184.6 	76041.4 	75177.6 	74191.5 	73704.0 	73410.6 	73137.1 	71718.0 	70684.8 	69694.5 	68978.2 	68182.3 	67697.4 	67279.7 	67297.0 	66746.8 
cz	29501.3 	28589.9 	27878.4 	27118.1 	26022.1 	25154.5 	24415.0 	24167.5 	22890.3 	22252.7 	21520.9 	20584.3 	20519.5 	20131.1 	20366.7 	19922.0 	20308.5 	20409.1 	20139.6 
dk	55288.2 	55310.0 	55082.4 	53864.9 	52751.1 	52721.6 	52080.1 	50713.3 	50343.7 	48962.8 	48543.5 	48308.7 	47834.9 	47103.9 	46706.8 	46855.8 	46610.4 	46491.6 	45834.8 
de	585560.0 	580640.0 	574620.0 	567570.0 	563470.0 	560890.0 	557200.0 	556000.0 	550430.0 	549820.0 	550410.0 	548970.0 	545500.0 	542390.0 	538200.0 	538330.0 	540420.0 	538310.0 	533680.0 
ee	3485.1 	3333.5 	3203.0 	3051.9 	2909.9 	2866.1 	2692.0 	2592.8 	2463.5 	2346.6 	2235.8 	2329.6 	2195.3 	2137.3 	2092.2 	2069.3 	2028.7 	1964.8 	1928.2 
ie	44684.5 	45125.9 	43206.1 	42803.7 	41911.6 	39974.8 	40324.0 	38902.9 	37702.0 	36801.1 	36779.4 	36268.0 	36430.6 	34430.6 	34291.6 	33716.6 	33796.5 	32947.8 	31529.1 
gr	: 	: 	47581.0 	47221.0 	46675.0 	45789.0 	44639.0 	43985.0 	43612.0 	42841.0 	41214.0 	40750.0 	39976.0 	39405.0 	38142.0 	38020.0 	36733.0 	36381.0 	35366.0 
es	251104.0 	246683.0 	241303.0 	237099.0 	233010.0 	228869.0 	223520.0 	220056.0 	215937.0 	212040.0 	207651.0 	204478.0 	201105.0 	197716.0 	193553.0 	190157.0 	187364.0 	184234.0 	180323.0 
fr	452034.1 	446548.5 	444039.6 	437301.6 	432234.4 	428932.0 	423887.5 	422449.9 	419781.3 	415377.1 	413447.5 	408031.8 	404990.4 	401202.9 	395636.9 	394334.9 	391071.9 	389912.8 	386745.7 
it	376252.1 	370207.7 	368129.0 	362145.2 	361395.5 	356938.9 	354703.6 	350385.4 	348698.1 	348073.3 	348365.5 	343763.0 	338614.4 	338320.0 	331037.1 	328242.7 	329170.8 	325650.6 	321609.8 
cy	3715.5 	3672.3 	3618.5 	3515.5 	3532.7 	3461.3 	3363.7 	3272.3 	3306.1 	3228.7 	3132.2 	3034.2 	3018.3 	2948.7 	2921.8 	2865.6 	2902.4 	2807.4 	2732.4 
lv	4382.1 	4141.4 	3900.1 	3698.1 	3505.3 	3316.0 	3161.9 	2977.9 	2897.9 	2866.8 	2746.2 	2604.1 	2567.3 	2513.5 	2426.0 	2460.5 	2485.2 	2455.8 	2489.8 
lt	6261.7 	6105.8 	5891.4 	5568.1 	5412.8 	5284.3 	5109.3 	4885.9 	4761.0 	4599.1 	4440.7 	4375.5 	4272.0 	4146.6 	4054.6 	4040.9 	3901.2 	3816.9 	3757.6 
lu	8456.2 	8319.3 	8220.7 	8052.3 	7851.5 	7515.5 	7139.6 	6884.8 	6882.2 	6781.6 	6702.3 	6624.8 	6559.4 	6469.2 	6352.2 	6220.9 	6040.5 	5988.0 	6023.7 
hu	23272.0 	21688.4 	21903.6 	22341.5 	22550.8 	22645.0 	21865.4 	21736.9 	21153.9 	20901.0 	20548.4 	19723.2 	19225.9 	18425.6 	18468.7 	18558.8 	18644.7 	17741.7 	17339.9 
mt	1241.1 	1236.6 	1211.1 	1195.8 	1184.6 	1174.4 	1152.3 	1117.5 	1125.3 	1097.5 	1089.7 	1100.8 	1102.5 	1088.9 	1082.7 	1078.4 	1100.0 	1103.2 	1113.4 
nl	134182.0 	132675.0 	131181.0 	129878.0 	128653.0 	127034.0 	125829.0 	124130.0 	123672.0 	122980.0 	122213.0 	120990.0 	120260.0 	119243.0 	118898.0 	118543.0 	117569.0 	117394.0 	115665.0 
at	65535.8 	64722.9 	63790.0 	62933.5 	62295.3 	61641.3 	60835.2 	60272.3 	59796.1 	59199.6 	58492.7 	57759.6 	57077.6 	56601.7 	56367.5 	56119.1 	55715.4 	55402.5 	55110.8 
pl	71148.8 	67497.4 	66048.8 	66521.3 	63992.9 	61504.6 	58924.4 	59836.4 	56112.4 	52617.4 	48641.8 	46706.8 	46775.0 	48038.4 	48175.1 	49135.6 	51327.4 	49774.0 	54075.7 
pt	39696.8 	39003.2 	38667.5 	37921.8 	37888.4 	37436.6 	37149.3 	36547.1 	36535.0 	36225.3 	36060.4 	35453.7 	35169.3 	34754.9 	34530.5 	34126.9 	34030.1 	34099.6 	33957.9 
si	7703.7 	7562.8 	7419.8 	7136.1 	7068.2 	6939.5 	6849.0 	6725.0 	6607.4 	6601.9 	6409.4 	6435.9 	6343.2 	6255.7 	6163.7 	6087.8 	6036.6 	5983.3 	5895.5 
sk	11854.2 	10980.4 	10712.6 	10441.0 	9917.5 	9577.8 	9312.9 	9310.2 	8862.9 	8557.0 	8364.0 	8086.0 	7676.4 	7365.8 	7247.7 	6945.6 	6875.4 	6398.2 	6406.2 
fi	43147.0 	42397.0 	41568.0 	41050.0 	39909.0 	39638.0 	38890.0 	38921.0 	38532.0 	38069.0 	37836.0 	37799.0 	37160.0 	36763.0 	36479.0 	35824.0 	36644.0 	36199.0 	35862.0 
uk	490383.9 	478710.4 	464314.2 	459210.2 	459588.8 	449104.5 	449105.5 	435101.4 	432235.6 	440368.4 	439433.9 	422102.8 	407472.1 	400681.1 	392096.2 	404590.7 	418672.9 	415609.2 	415299.2 
no	65291.3 	67270.1 	68588.1 	65936.5 	64735.4 	62819.7 	59428.1 	55703.0 	55558.0 	52182.6 	52049.9 	48556.8 	49498.8 	48447.6 	49003.1 	52273.3 	53261.1 	51621.0 	51821.6 
