geo\time	2005 	2004 	2003 	2002 	2001 	2000 	1999 
be	8.4 	8.4 	8.2 	7.5 	6.6 	7.0 	8.6 
be10	16.3 	15.7 	15.6 	14.5 	12.9 	13.9 	15.8 
be21	6.2 	6.0 	6.4 	5.6 	4.3 	4.8 	5.9 
be22	7.1 	6.5 	6.8 	5.3 	4.3 	4.9 	6.0 
be23	4.9 	5.2 	5.5 	5.5 	3.8 	4.5 	5.8 
be24	4.4 	5.0 	5.6 	4.0 	3.7 	3.6 	4.4 
be25	4.7 	4.5 	4.2 	3.8 	3.5 	3.6 	4.5 
be31	9.0 	7.7 	7.9 	7.0 	5.9 	6.9 	7.1 
be32	14.0 	13.8 	12.6 	12.6 	11.9 	12.0 	16.1 
be33	11.9 	13.3 	11.2 	10.7 	10.4 	10.2 	12.4 
be34	7.9 	8.1 	6.7 	6.5 	6.2 	6.8 	6.9 
be35	10.4 	9.7 	9.5 	9.4 	8.9 	10.3 	10.8 
bg	10.1 	12.0 	13.7 	18.2 	20.3 	16.9 	15.7 
bg41	7.6 	9.4 	11.3 	13.3 	15.2 	10.9 	10.4 
cz	7.9 	8.3 	7.8 	7.3 	8.2 	8.8 	8.8 
cz01	3.5 	3.8 	4.2 	3.6 	3.9 	4.2 	4.0 
cz02	5.2 	5.4 	5.2 	5.0 	6.7 	7.5 	8.0 
cz03	5.1 	5.8 	5.3 	4.8 	5.7 	6.1 	6.5 
cz04	13.5 	13.1 	11.2 	11.4 	11.8 	14.0 	13.5 
cz05	5.6 	6.7 	6.5 	5.4 	6.2 	6.9 	7.7 
cz06	7.7 	7.9 	7.2 	6.8 	7.8 	7.8 	8.3 
cz07	9.7 	9.8 	8.7 	8.8 	9.5 	10.6 	9.7 
cz08	13.9 	14.6 	14.8 	13.4 	14.4 	14.5 	13.1 
dk	4.8 	5.5 	5.4 	4.6 	4.6 	4.6 	5.6 
dk00	4.8 	5.5 	5.4 	4.6 	4.6 	4.6 	5.6 
de	11.2 	10.3 	9.9 	8.7 	7.8 	7.8 	8.4 
de11	7.3 	6.5 	5.9 	4.5 	3.7 	3.9 	4.9 
de12	7.6 	6.8 	6.2 	5.1 	4.4 	4.6 	5.8 
de13	6.4 	6.1 	5.4 	4.3 	3.8 	4.2 	5.0 
de14	6.8 	6.0 	5.6 	4.4 	3.6 	3.6 	4.5 
de21	5.8 	4.9 	5.0 	3.8 	2.9 	3.1 	3.8 
de22	6.5 	5.4 	6.0 	5.0 	3.9 	3.8 	4.6 
de23	6.5 	6.2 	6.6 	5.4 	4.8 	4.7 	4.6 
de24	10.3 	9.2 	8.9 	7.4 	5.6 	5.2 	6.0 
de25	8.7 	8.1 	7.5 	6.0 	4.9 	5.4 	6.3 
de26	8.2 	7.1 	6.5 	5.5 	4.5 	4.5 	5.9 
de27	6.5 	6.4 	6.0 	4.4 	3.8 	3.9 	4.4 
de30	19.4 	18.4 	17.9 	15.9 	15.0 	14.1 	14.8 
de41	19.9 	: 	: 	: 	: 	: 	: 
de42	16.8 	: 	: 	: 	: 	: 	: 
de50	16.6 	14.3 	11.9 	10.2 	8.9 	9.5 	11.0 
de60	10.5 	10.3 	9.7 	8.3 	7.1 	7.4 	8.1 
de71	8.2 	7.7 	7.0 	5.6 	5.1 	5.1 	6.4 
de72	9.0 	8.3 	7.6 	5.8 	5.3 	6.2 	7.2 
de73	9.3 	7.3 	7.7 	7.3 	7.0 	6.8 	7.9 
de80	21.4 	21.2 	20.4 	19.0 	18.1 	16.5 	16.7 
de91	11.6 	10.2 	10.0 	9.2 	8.2 	7.4 	8.3 
de92	10.5 	9.6 	8.3 	7.4 	6.7 	7.1 	7.7 
de93	9.7 	8.5 	8.0 	6.7 	6.0 	6.1 	6.3 
de94	10.2 	8.6 	8.3 	6.9 	5.7 	5.6 	6.1 
dea1	10.7 	9.7 	9.1 	7.6 	6.3 	6.5 	7.3 
dea2	9.5 	8.1 	8.0 	6.7 	5.8 	5.8 	6.5 
dea3	9.5 	8.6 	8.6 	7.2 	6.0 	5.4 	6.9 
dea4	10.2 	9.2 	8.3 	7.5 	6.1 	5.6 	6.1 
dea5	12.2 	10.6 	10.0 	8.3 	7.2 	7.4 	8.0 
deb1	8.8 	7.2 	6.8 	5.9 	5.5 	5.4 	5.8 
deb2	7.3 	5.7 	5.3 	4.7 	4.3 	4.3 	5.3 
deb3	9.3 	6.8 	6.5 	5.9 	5.2 	5.9 	6.1 
dec0	10.8 	8.5 	8.4 	7.6 	6.3 	6.8 	7.1 
ded1	17.8 	18.2 	17.7 	17.0 	16.3 	15.3 	15.4 
ded2	18.3 	17.7 	17.0 	17.0 	17.1 	15.8 	15.4 
ded3	20.5 	19.3 	19.5 	18.8 	17.4 	16.6 	15.4 
dee1	21.3 	22.9 	21.8 	20.5 	20.5 	20.0 	20.2 
dee2	22.3 	23.4 	21.9 	21.2 	21.5 	21.1 	21.1 
dee3	18.7 	19.9 	18.2 	16.7 	17.1 	18.4 	18.9 
def0	10.3 	8.9 	8.8 	7.8 	6.7 	6.4 	7.3 
deg0	17.2 	15.3 	16.1 	15.0 	13.8 	13.5 	13.9 
ee	7.9 	9.7 	10.0 	10.3 	12.6 	13.6 b	11.6 
ee00	7.9 	9.7 	10.0 	10.3 	12.6 	13.6 b	11.6 
ie	4.3 	4.5 	4.7 	4.4 	3.9 	4.3 	5.8 
ie01	4.4 	4.7 	5.3 b	5.4 	4.9 	5.5 	6.9 
ie02	4.3 	4.5 	4.5 b	4.1 	3.6 	4.0 	5.4 
gr	9.8 	10.5 	9.7 	10.3 	10.8 	11.4 	12.1 
gr11	11.8 	13.2 	10.5 	10.4 	9.5 	9.0 	12.6 
gr12	11.1 	12.2 	10.3 	11.5 	11.0 	11.1 	11.9 
gr13	18.0 	16.6 	16.6 	15.0 	16.4 	15.0 	14.6 
gr14	9.4 	9.8 	10.6 	11.4 	12.9 	12.9 	13.4 
gr21	11.5 	11.2 	11.8 	11.4 	12.8 	11.7 	14.1 
gr22	8.5 	11.4 	11.9 	10.0 	10.9 	9.8 	9.0 
gr23	10.6 	12.5 	9.4 	10.7 	10.7 	10.7 	11.7 
gr24	10.9 	12.8 	9.7 	10.8 	14.1 	14.7 	14.2 
gr25	8.7 	9.1 	8.8 	8.2 	9.2 	9.7 	8.2 
gr30	8.8 	9.1 	8.8 	9.2 	10.4 	12.0 	12.7 
gr41	10.2 	9.3 	8.0 	9.7 	6.8 	7.3 	11.5 
gr42	9.3 	8.7 	11.8 	14.7 	11.9 	11.6 	11.6 
gr43	7.1 	7.7 	7.4 	8.7 	7.2 	7.4 	8.5 
es	9.2 	11.0 	11.5 	11.5 	10.5 	13.9 	15.7 
es11	9.9 	13.6 	12.7 	12.2 	11.0 	14.9 	16.2 
es12	10.2 	10.4 	11.1 	9.7 	7.7 	17.0 	17.9 
es13	8.5 	10.5 	10.5 	10.0 	8.7 	13.4 	15.4 
es21	7.3 	9.7 	9.5 	9.6 	9.8 	12.1 	13.9 
es22	5.6 	5.5 	5.7 	5.7 	4.9 	5.6 	8.2 
es23	6.2 	5.6 	6.0 	7.0 	4.5 	8.1 	8.1 
es24	5.8 	5.6 	6.6 	5.8 	5.0 	7.3 	9.3 
es30	6.8 	6.7 	7.4 	7.3 	7.6 	11.6 	13.0 
es41	8.7 	10.7 	11.1 	10.5 	10.0 	13.8 	15.3 
es42	9.2 	9.5 	10.1 	9.5 	9.5 	12.6 	15.0 
es43	15.8 	17.2 	17.4 	19.2 	14.5 	23.6 	25.1 
es51	7.0 	9.7 	10.0 	10.1 	8.6 	8.9 	10.8 
es52	8.8 	10.4 	11.2 	10.8 	9.4 	11.6 	13.8 
es53	7.2 	9.1 	9.6 	7.6 	5.9 	6.8 	8.2 
es61	13.8 	17.1 	18.6 	19.7 	18.7 	24.1 	26.5 
es62	8.0 	10.6 	10.7 	11.4 	10.6 	12.7 	13.9 
es63	19.7 	10.5 u	9.5 u	: u	: u	24.6 	27.2 
es64	13.9 u	16.7 	8.9 u	: u	: u	21.4 	21.0 
es70	11.7 	11.9 	11.4 	11.1 	10.7 	13.4 	14.2 
fr	9.5 	9.6 	9.3 	9.2 	9.1 	10.2 	12.0 
fr10	9.5 	9.3 	9.2 b	8.1 	7.4 	8.7 	10.5 
fr21	10.0 	10.0 	8.8 b	9.3 	10.0 	11.3 	13.2 
fr22	11.4 	10.5 	10.0 b	8.5 	9.2 	11.6 	13.4 
fr23	8.4 	8.5 	9.4 b	10.1 	8.9 	11.0 	14.1 
fr24	7.2 	7.4 	6.4 b	8.6 	7.3 	8.2 	10.8 
fr25	7.8 	7.6 	7.8 b	7.9 	7.2 	8.2 	10.0 
fr26	8.1 	8.5 	7.0 b	6.9 	6.9 	9.3 	10.4 
fr30	13.2 	12.6 	12.5 b	13.4 	14.0 	16.7 	18.1 
fr41	10.2 	11.1 	9.7 b	7.8 	7.8 	9.7 	11.1 
fr42	7.1 	7.6 	7.0 b	6.7 	6.1 	6.5 	7.5 
fr43	7.9 	8.2 	7.7 b	8.3 	4.9 	8.1 	9.7 
fr51	7.7 	7.8 	8.1 b	7.7 	7.8 	9.5 	12.2 
fr52	7.3 	7.1 	6.8 b	6.7 	6.2 	7.5 	9.5 
fr53	8.4 	8.4 	7.6 b	8.0 	8.5 	8.4 	10.9 
fr61	8.3 	10.5 	9.8 b	9.2 	10.3 	11.1 	11.9 
fr62	7.5 	7.2 	8.6 b	8.1 	8.8 	10.1 	11.1 
fr63	6.4 	7.9 	6.9 b	6.4 	7.4 	7.8 	9.5 
fr71	8.4 	8.5 	7.5 b	6.9 	7.2 	8.1 	9.9 
fr72	7.3 	7.8 	7.5 b	6.9 	7.5 	10.2 	10.6 
fr81	12.3 	11.5 	12.0 b	13.1 	13.5 	16.6 	17.4 
fr82	11.2 	10.3 	10.0 b	11.4 	12.4 	14.3 	16.9 
fr83	10.9 u	14.3 	12.2 bu	10.4 u	7.4 u	22.2 	26.0 
fr91	25.9 	25.1 	26.2 b	26.0 	25.2 	: 	: 
fr92	18.7 	21.5 	21.0 b	22.9 	24.0 	: 	: 
fr93	24.8 	25.7 	24.3 b	24.4 	28.1 	: 	: 
fr94	30.1 	32.8 	31.6 b	29.3 	31.5 	: 	: 
it	7.7 	8.0 	8.7 	9.0 	9.5 	10.6 	11.4 
itc1	4.7 	5.3 	4.8 	5.1 	4.9 	6.3 	7.2 
itc2	3.2 u	3.0 u	4.0 u	3.6 u	4.2 u	4.5 u	5.3 u
itc3	5.8 	5.7 	6.0 	6.3 	6.4 	8.2 	9.9 
itc4	4.1 	4.0 	3.6 	3.8 	3.7 	4.4 	4.8 
itd1	2.7 	2.7 	2.0 	1.9 	1.9 	2.1 	2.5 
itd2	3.6 	3.2 	2.9 	3.3 	3.3 	3.4 	4.4 
itd3	4.2 	4.2 	3.4 	3.4 	3.5 	3.7 	4.5 
itd4	4.1 	3.9 	3.9 	3.7 	4.0 	4.5 	5.6 
itd5	3.8 	3.7 	3.0 	3.3 	3.8 	4.0 	4.6 
ite1	5.3 	5.2 	4.7 	4.8 	5.1 	6.1 	7.2 
ite2	6.1 	5.7 	5.2 	5.7 	5.3 	6.5 	7.6 
ite3	4.7 	5.2 	3.8 	4.4 	4.5 	5.0 	6.1 
ite4	7.7 	7.9 	8.7 	8.6 	10.2 	11.0 	11.7 
itf1	7.8 	7.9 	5.4 	6.1 	5.7 	7.8 	10.1 
itf2	10.1 	11.3 	12.3 	12.6 	13.7 	13.9 	16.2 
itf3	14.9 	15.6 	20.2 	21.1 	22.5 	23.7 	23.7 
itf4	14.6 	15.5 	13.8 	13.9 	14.7 	17.1 	19.0 
itf5	12.3 	12.8 	16.0 	15.3 	16.5 	16.2 	17.1 
itf6	14.4 	14.3 	23.4 	24.6 	25.7 	26.0 	28.0 
itg1	16.2 	17.2 	20.1 	20.1 	21.5 	24.0 	24.5 
itg2	12.9 	13.9 	16.9 	18.4 	18.7 	20.6 	21.0 
cy	5.3 	4.9 	4.1 	3.3 	3.9 	5.0 	: 
cy00	5.3 	4.9 b	4.1 	3.3 	3.9 	5.0 	: 
lv	8.9 	10.4 	10.5 	12.1 	13.1 	14.2 	13.8 
lv00	8.9 	10.4 	10.5 	12.1 b	13.1 	14.2 	13.8 
lt	8.3 	11.4 	12.4 	13.7 	16.8 	15.9 	13.4 
lt00	8.3 	11.4 	12.4 	13.7 b	16.8 	15.9 	13.4 
lu	4.5 	5.1 	3.7 	2.6 	1.8 	2.3 	2.4 
lu00	4.5 	5.1 	3.7 b	2.6 	1.8 	2.3 	2.4 
hu	7.2 	6.1 	5.9 	5.8 	5.7 	6.4 	7.0 
hu10	5.1 	4.5 	4.0 	4.0 	4.3 	5.2 	5.2 
hu21	6.3 	5.6 	4.6 	5.0 	4.3 	4.9 	6.1 
hu22	5.9 	4.6 	4.6 	4.0 	4.0 	4.2 	4.4 
hu23	8.8 	7.3 	7.9 	7.9 	7.8 	7.8 	8.3 
hu31	10.6 	9.7 	9.7 	8.9 	8.5 	10.1 	11.6 
hu32	9.0 	7.2 	6.8 	7.8 	7.8 	9.2 	10.2 
hu33	8.1 	6.3 	6.5 	6.2 	5.2 	5.1 	5.7 
mt	7.0 	7.2 	7.6 	6.9 	7.0 	6.3 	: 
mt00	7.0 	7.2 	7.6 	6.9 b	7.0 	6.3 	: 
nl	4.7 	4.6 	3.7 	2.8 	2.3 	2.9 	3.6 
nl11	6.6 	6.4 	4.9 	4.2 	3.8 	4.5 b	6.6 
nl12	4.9 	5.0 	4.2 	3.2 	3.1 	4.0 b	4.1 
nl13	5.7 	5.5 	3.7 	3.1 	3.0 	3.7 b	8.4 
nl21	4.9 	4.7 	3.5 	2.9 	2.4 	2.6 b	3.1 
nl22	4.3 	4.3 	3.3 	2.4 	2.2 	2.5 b	3.4 
nl23	6.6 	5.7 	4.2 	3.7 	2.0 u	2.9 b	2.8 u
nl31	3.7 	3.7 	3.5 	2.2 	1.5 	2.5 b	2.6 
nl32	4.9 	4.4 	3.8 	2.6 	2.0 	3.1 b	3.7 
nl33	4.9 	4.7 	3.8 	2.9 	2.3 	3.1 b	3.5 
nl34	3.3 	3.4 	2.4 u	2.3 u	2.4 u	3.5 b	4.5 
nl41	3.9 	4.2 	3.4 	2.4 	1.9 	2.4 b	2.8 
nl42	5.4 	5.1 	4.1 	3.3 	2.5 	3.0 b	3.2 
at	5.2 	4.9 	4.2 	4.0 	3.6 	3.5 	3.7 
at11	6.0 	5.6 	4.3 	4.3 	4.1 	3.2 	3.6 
at12	4.3 	4.2 	3.5 	3.5 	3.2 	3.0 	3.3 
at13	9.1 	8.9 	7.7 	7.2 	5.9 	5.8 	5.7 
at21	4.8 	4.6 	3.3 	2.7 	3.2 	3.1 	3.5 
at22	4.1 	3.7 	3.9 	3.7 	3.7 	3.2 	3.2 
at31	4.0 	3.7 	3.3 	3.1 	2.8 	3.1 	3.4 
at32	3.2 	3.7 	2.3 	2.7 	1.9 	2.3 	2.7 
at33	3.5 	3.3 	2.5 	2.0 	2.3 	2.5 	2.5 
at34	5.3 	4.1 	4.0 	2.5 	2.3 	2.4 	3.5 
pl	17.7 	19.0 	19.6 	19.9 	18.2 	16.1 	12.3 
pl11	17.3 	18.7 	19.6 	20.3 	19.7 	16.6 b	12.2 
pl12	14.8 	14.5 	16.3 	17.0 	14.6 	13.1 b	10.2 
pl21	15.2 	17.3 	18.0 	16.2 	13.0 	11.7 b	9.3 
pl22	19.0 	19.3 	20.2 	20.1 	19.7 	17.5 b	11.0 
pl31	14.3 	16.7 	16.0 	16.6 	14.7 	14.1 b	11.0 
pl32	16.7 	16.6 	17.7 	18.2 	18.0 	15.8 b	12.6 
pl33	18.9 	20.6 	19.1 	18.8 	17.9 	15.7 b	13.2 
pl34	14.4 	15.6 	17.7 	16.8 	16.0 	15.2 b	11.6 
pl41	17.1 	18.2 	17.1 	18.2 	17.7 	13.7 b	9.8 
pl42	22.7 	23.8 	25.4 	26.0 	22.4 	19.1 b	19.6 
pl43	19.1 	23.2 	24.5 	26.3 	24.3 	20.7 b	15.8 
pl51	22.8 	24.8 	26.0 	26.0 	23.7 	21.3 b	14.8 
pl52	16.9 	17.8 	18.3 	19.7 	18.1 	15.5 b	14.1 
pl61	19.8 	22.0 	21.8 	21.5 	20.0 	17.8 b	13.2 
pl62	20.4 	22.3 	23.9 	25.9 	23.5 	23.6 b	19.4 
pl63	18.9 	20.2 	20.5 	21.5 	18.5 	16.6 b	11.1 
pt	7.6 	6.7 	6.3 	5.0 	4.0 	4.0 	4.5 
pt11	8.8 	7.7 	6.8 	4.9 	3.7 	4.2 	4.6 
pt15	6.2 	5.5 	6.1 	5.2 	3.8 u	3.6 u	4.8 
pt16	5.2 	4.3 	3.6 	3.1 	2.8 	2.2 	2.5 
pt17	8.6 	7.6 	8.1 	6.7 	5.1 	5.4 	6.1 
pt18	9.1 	8.8 	8.2 	7.5 	6.9 	5.5 	6.5 
pt20	: u	: u	: u	: u	: u	: u	: u
pt30	4.5 	: u	: u	: u	: u	: u	: u
ro	7.2 	8.1 	7.0 	8.4 	6.6 	7.2 	6.9 
ro11	5.9 	6.5 	6.0 	7.6 	6.6 	7.3 	7.1 
ro12	8.4 	9.6 	7.2 	8.4 	6.6 	7.3 	7.4 
ro21	5.7 	6.2 	6.3 	7.8 	5.9 	6.8 	7.5 
ro22	7.9 	9.9 	8.3 	10.6 	7.9 	8.7 	7.7 
ro31	9.2 	9.6 	7.8 	9.8 	6.8 	7.6 	7.3 
ro32	6.9 	7.6 	8.6 	8.8 	8.5 	7.0 	5.6 
ro41	6.6 	7.5 	6.0 	6.7 	5.5 	5.6 	5.0 
ro42	6.7 	8.0 	5.9 	7.2 	5.6 	6.6 	6.8 
si	6.5 	6.3 	6.7 	6.3 	6.2 	6.7 	7.4 
si00	6.5 	6.3 	6.7 	6.3 	6.2 	6.7 	7.4 
sk	16.3 	18.2 	17.6 	18.7 	19.3 	18.8 	16.4 
sk01	5.3 	8.3 	7.1 	8.7 	8.2 	7.3 	7.4 
sk02	12.5 	14.2 	15.9 	17.5 	18.6 	17.7 	14.2 
sk03	19.6 	22.1 	20.5 	21.4 	20.8 	20.4 	18.5 
sk04	23.1 	24.2 	21.8 	22.2 	23.9 	24.0 	21.3 
fi	8.4 	8.8 	9.0 	9.1 	9.1 	9.8 	10.2 
fi13	11.6 	12.5 	12.3 	13.3 	14.0 	14.1 	13.9 
fi18	6.9 	7.3 	7.5 	7.1 	7.0 	7.7 	8.1 
fi19	8.8 	9.2 	9.4 	9.5 	9.6 	10.5 	11.2 
fi1a	11.1 	11.1 	12.3 	13.4 	13.0 	13.5 	14.1 
fi20	: u	: u	: u	: u	: u	: 	: 
se	7.5 	6.5 	5.7 	5.1 	4.8 	5.4 	7.6 
se01	6.7 	5.7 	5.1 	4.0 	3.3 b	3.2 	3.9 
se02	8.1 	6.8 	5.9 	5.2 	5.0 b	5.5 	8.4 
se04	8.5 	7.4 	6.7 	6.2 	6.2 b	7.3 	8.7 
se06	8.7 	7.9 	7.3 	6.3 	6.5 b	6.7 	11.0 
se07	8.2 	6.7 	5.6 	5.9 	6.7 b	7.6 	8.3 
se08	8.7 	7.7 	6.7 	6.1 	6.0 b	9.0 	11.5 
se09	5.9 	5.2 	4.4 	3.8 	4.3 b	4.4 	7.4 
se0a	6.8 	6.1 	4.9 	4.8 	4.3 b	5.1 	7.0 
uk	4.7 	4.7 	5.0 	5.1 	5.0 	5.6 	6.0 
ukc1	6.0 	6.0 	7.5 	7.1 	7.4 	8.0 	10.3 
ukc2	6.1 	5.8 	5.6 	6.3 	7.1 	9.0 	9.7 
ukd1	3.8 	4.0 	4.9 	5.1 	6.1 	5.3 	6.2 
ukd2	3.3 	3.1 	3.3 	4.2 	4.3 	4.0 	4.4 
ukd3	4.8 	4.6 	5.0 	5.5 	4.9 	5.5 	6.2 
ukd4	4.3 	4.3 	4.2 	4.4 	4.2 	4.5 	4.2 
ukd5	5.6 	5.4 	6.5 	6.6 	7.6 	8.6 	9.6 
uke1	5.4 	5.9 	5.8 	6.2 	6.2 	6.8 	8.5 
uke2	2.9 	2.6 	2.7 	3.6 	2.7 	4.2 	3.8 
uke3	5.3 	4.8 	5.7 	5.2 	5.8 	7.0 	7.3 
uke4	4.6 	4.6 	5.1 	5.4 	5.2 	6.1 	6.0 
ukf1	4.3 	4.4 	4.7 	5.1 	5.0 	5.5 	5.7 
ukf2	4.6 	3.6 	4.0 	4.0 	4.0 	4.4 	4.8 
ukf3	3.3 	4.6 	4.3 	4.3 	4.8 	4.8 	4.2 
ukg1	2.6 	3.2 	3.8 	3.5 	3.2 	4.3 	4.8 
ukg2	3.6 	3.9 	4.0 	4.6 	4.0 	4.5 	6.1 
ukg3	6.3 	7.0 	7.7 	7.5 	7.3 	8.1 	8.3 
ukh1	4.1 	3.5 	3.7 	3.7 	4.1 	4.1 	4.0 
ukh2	3.8 	3.4 	3.9 	3.5 	3.4 	3.4 	4.1 
ukh3	3.8 	3.8 	4.1 	4.0 	3.2 	3.9 	4.4 
uki1	7.8 	8.9 	8.9 	9.1 	8.5 	9.4 	9.4 
uki2	6.5 	5.5 	5.8 	5.4 	5.3 	5.9 	6.5 
ukj1	3.5 	3.7 	3.9 	3.4 	3.0 	2.4 	2.5 
ukj2	3.7 	3.3 	3.4 	3.8 	3.1 	3.3 	3.5 
ukj3	3.9 	3.3 	3.4 	3.5 	3.0 	3.7 	4.5 
ukj4	4.2 	4.5 	4.8 	4.1 	4.4 	4.8 	4.4 
ukk1	3.5 	3.3 	3.2 	3.5 	3.1 	3.5 	3.3 
ukk2	3.5 	2.4 	3.1 	3.6 	3.1 	4.0 	4.6 
ukk3	3.4 	4.0 	4.2 	4.2 	5.0 	5.9 	7.7 
ukk4	3.8 	3.4 	3.6 	4.1 	4.9 	5.2 	6.3 
ukl1	5.1 	5.2 	4.9 	5.9 	6.3 	7.0 	7.5 
ukl2	3.5 	3.4 	4.2 	4.9 	5.0 	5.5 	5.9 
ukm1	3.9 	5.2 	4.6 	3.6 	3.4 	4.2 	5.0 
ukm2	5.0 	4.9 	4.9 	5.8 	4.8 	6.2 	6.6 
ukm3	6.3 	6.7 	6.8 	7.8 	7.7 	8.6 	8.8 
ukm4	3.7 	4.8 	4.6 	5.7 	6.7 	6.8 	6.3 
ukn0	4.7 	5.0 	5.6 	5.7 	6.0 	6.3 	6.9 
hr	12.9 	13.7 	13.9 	15.1 	: 	: 	: 
is	2.5 	3.0 	3.3 b	3.0 	1.9 	1.9 	2.2 
no	4.4 	4.2 	4.0 	3.8 	3.5 	3.3 b	3.2 
no01	4.6 	4.4 	4.1 	3.5 	3.1 	2.7 b	2.3 
no02	4.2 	3.9 	3.3 	3.6 	3.0 	: u	3.2 
no03	4.7 	3.9 	4.3 	3.9 	3.5 	3.2 b	3.6 
no04	4.1 	4.8 	4.1 	4.0 	4.0 	4.1 b	3.4 
no05	4.1 	4.0 	3.9 	3.6 	3.4 	3.4 b	3.1 
no06	3.5 	3.4 	4.0 	3.8 	3.6 	4.1 b	3.8 
no07	5.1 	4.6 	4.4 	4.3 	4.4 	3.7 b	4.5 
ch	4.4 	4.3 	4.1 	2.9 	2.5 	2.7 	: 
